AnimalID,Received_Date,PCR_Result,ELISA_Result,ELISA_Level,Notes,PermID,Cap_Date,Source,Herd,Wt_kg,Sex,Age,Preg,Age2,Year,cat
P1194,2022-04-06,0,0,15.585,NA,RR38,2022-03-30,NA,RRiv,NA,F,NA,NA,NA,2022,NA(F)
P1197,2022-04-06,0,0,25.844,NA,RR29,2022-03-30,NA,RRiv,NA,F,NA,NA,NA,2022,NA(F)
P1198,2022-04-06,0.5,0.5,45.605,NA,RR30,2022-03-30,NA,RRiv,NA,F,6,NA,A,2022,A(F)
P1536,2021-08-24,0,0,4.397,NA,RR23,2021-08-17,NA,GH,NA,F,A,NA,A,2021,A(F)
P1537,2021-08-24,0,0,16.022,NA,RR24,2021-08-17,NA,GH,NA,F,A,NA,A,2021,A(F)
P1552,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH29,2021-11-02,RRoc,AH,47,F,1,na,Y,2021,Y(F)
P1554,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH33,2021-11-02,RRoc,AH,58,F,4,1,A,2021,A(F)
P1555,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH32,2021-11-02,RRoc,AH,70,F,4,1,A,2021,A(F)
P1557,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH36,2021-11-02,RRoc,AH,46,F,2,NA,Y,2021,Y(F)
P1558,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH35,2021-11-02,RRoc,AH,56,F,1,0,Y,2021,Y(F)
P1559,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH41,2021-11-02,RRoc,AH,62,F,3,1,A,2021,A(F)
P1561,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,FC124,2021-10-31,NA,FC,49,F,2.5,NA,A,2021,A(F)
P1562,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,FC126,2021-10-31,NA,FC,62,F,5,NA,A,2021,A(F)
P1563,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,FC127,2021-10-31,NA,FC,51,M,1,NA,Y,2021,Y(M)
P1564,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,FC129,2021-10-31,NA,FC,55,M,1,NA,Y,2021,Y(M)
P1565,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,FC132,2021-10-31,NA,FC,69,M,3,NA,A,2021,A(M)
P1566,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,FC133,2021-10-31,NA,FC,73,F,6,NA,A,2021,A(F)
P1567,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,FC134,2021-10-31,NA,FC,86,F,4,NA,A,2021,A(F)
P1568,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH57,2021-11-03,RRoc,AH,61,F,3,0,A,2021,A(F)
P1569,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH61,2021-11-03,RRoc,AH,96,M,6,NA,A,2021,A(M)
P1570,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH63,2021-11-03,RRoc,AH,71,M,2.5,NA,A,2021,A(M)
P1571,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH59,2021-11-03,RRoc,AH,85,M,6,NA,A,2021,A(M)
P1572,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH66,2021-11-03,RRoc,AH,85,M,3,NA,A,2021,A(M)
P1573,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH72,2021-11-03,RRoc,AH,100,M,10,NA,A,2021,A(M)
P1574,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH56,2021-11-03,RRoc,AH,52,F,4,1,A,2021,A(F)
P1575,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH54,2021-11-03,RRoc,AH,91,M,7,NA,A,2021,A(M)
P1576,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH65,2021-11-03,RRoc,AH,57,F,6,1,A,2021,A(F)
P1577,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH69,2021-11-03,RRoc,AH,47,F,1,NA,Y,2021,Y(F)
P1578,2022-04-06,0,0,38.645,NA,RR28,2022-03-29,NA,RRiv,NA,F,NA,NA,NA,2022,NA(F)
P1579,2022-04-06,0,1,63.325,NA,RR33,2022-03-30,NA,RRiv,NA,F,4,NA,A,2022,A(F)
P1580,2022-04-06,1,0,34.603,NA,RR32,2022-03-30,NA,RRiv,NA,F,2,NA,Y,2022,Y(F)
P1581,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH44,2021-11-02,RRoc,AH,55,M,2,NA,Y,2021,Y(M)
P1582,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH42,2021-11-02,RRoc,AH,49,F,2,0,Y,2021,Y(F)
P1583,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH45,2021-11-02,RRoc,AH,64,F,4,NOT CHECKED,A,2021,A(F)
P1584,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH48,2021-11-02,RRoc,AH,60,F,6,1,A,2021,A(F)
P1585,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH46,2021-11-02,RRoc,AH,63,M,2,NA,Y,2021,Y(M)
P1587,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH70,2021-11-03,RRoc,AH,54,M,1,NA,Y,2021,Y(M)
P1589,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH68,2021-11-03,RRoc,AH,55,M,1,NA,Y,2021,Y(M)
P1590,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH73,2021-11-03,RRoc,AH,97,M,6,NA,A,2021,A(M)
P1591,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH50,2021-11-02,RRoc,AH,92,M,6,NA,A,2021,A(M)
P1592,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,FC131,2021-10-31,NA,FC,60,F,3,NA,A,2021,A(F)
P1593,2022-04-06,0,0,-30.483,NA,RR37,2022-03-30,NA,RRiv,NA,F,5,NA,A,2022,A(F)
P1594,2021-11-09,0,1,50.934,NA,SAE214,2021-10-30,NA,SA,NA,F,5,NA,A,2021,A(F)
P1595,2021-11-09,0,0.5,47.695,NA,SAR216,2021-10-30,NA,SA,NA,M,2,NA,Y,2021,Y(M)
P1596,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH71,2021-11-03,RRoc,AH,60,F,6,NA,A,2021,A(F)
P1597,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,FC117,2021-10-31,NA,FC,88,M,6,NA,A,2021,A(M)
P1598,2022-04-06,1,1,70.176,NA,RR26,2022-03-29,NA,RRiv,NA,F,3,NA,A,2022,A(F)
P1599,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,FC116,2021-10-31,NA,FC,66,F,6,NA,A,2021,A(F)
P1600,2022-04-06,0,0,-32.113,NA,RR35,2022-03-30,NA,RRiv,NA,F,3.5,NA,A,2022,A(F)
P1801,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH30,2021-11-02,RRoc,AH,60,F,4,0,A,2021,A(F)
P1803,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH28,2021-11-02,RRoc,AH,59,F,5,1,A,2021,A(F)
P1804,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH39,2021-11-02,RRoc,AH,54,F,5,0,A,2021,A(F)
P1805,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH37,2021-11-02,RRoc,AH,44,F,1,0,Y,2021,Y(F)
P1806,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,FC136,2021-10-31,NA,FC,75,M,6,NA,A,2021,A(M)
P1807,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,FC125,2021-10-31,NA,FC,50,F,3,NA,A,2021,A(F)
P1808,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,FC137,2021-10-31,NA,FC,85,M,7,NA,A,2021,A(M)
P1810,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,FC128,2021-10-31,NA,FC,53,F,2,NA,Y,2021,Y(F)
P1811,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,FC130,2021-10-31,NA,FC,53,F,6,NA,A,2021,A(F)
P1812,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH58,2021-11-03,RRoc,AH,56,F,6,1,A,2021,A(F)
P1813,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH62,2021-11-03,RRoc,AH,59,M,NA,NA,NA,2021,NA(M)
P1814,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH64,2021-11-03,RRoc,AH,60,F,5,1,A,2021,A(F)
P1815,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH67,2021-11-03,RRoc,AH,102,M,8,NA,A,2021,A(M)
P1816,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH53,2021-11-03,RRoc,AH,66,F,4,1,A,2021,A(F)
P1817,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH55,2021-11-03,RRoc,AH,64,F,5,1,A,2021,A(F)
P1818,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH60,2021-11-03,RRoc,AH,97,M,7,NA,A,2021,A(M)
P1819,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH40,2021-11-02,RRoc,AH,49,F,2,NA,Y,2021,Y(F)
P1820,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH43,2021-11-02,RRoc,AH,60,F,6,1,A,2021,A(F)
P1821,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH47,2021-11-02,RRoc,AH,66,M,3,NA,A,2021,A(M)
P1822,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH52,2021-11-03,RRoc,AH,74,M,3,NA,A,2021,A(M)
P1823,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,AH49,2021-11-02,RRoc,AH,82,M,3,NA,A,2021,A(M)
P1824,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,FC119,2021-10-31,NA,FC,57,F,4,NA,A,2021,A(F)
P1825,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,FC120,2021-10-31,NA,FC,70,M,2,NA,Y,2021,Y(M)
P1826,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,FC121,2021-10-31,NA,FC,55,F,4.5,NA,A,2021,A(F)
P1827,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,FC122,2021-10-31,NA,FC,54,F,3,NA,A,2021,A(F)
P1828,2022-04-06,0,0,15.067,NA,RR27,2022-03-29,NA,RRiv,NA,F,NA,NA,NA,2022,NA(F)
